,Dates,Carry NG1 Comdty - NG2 Comdty,SMA_crossover,CombinedSignal
641,2008-04-11,1.0,1,1.0
642,2008-04-14,0.0,1,0.5
643,2008-04-15,-0.9999999999999999,1,-0.0
644,2008-04-16,-0.9999999999999999,1,-0.0
645,2008-04-17,0.0,1,0.5
646,2008-04-18,-0.9999999999999999,1,-0.0
647,2008-04-21,-0.9999999999999999,1,-0.0
648,2008-04-22,1.0,1,1.0
649,2008-04-23,0.0,1,0.5
650,2008-04-24,0.0,1,0.5
651,2008-04-25,0.0,1,0.5
652,2008-04-28,-0.9999999999999999,1,-0.0
653,2008-04-29,1.0,1,1.0
654,2008-04-30,1.0,1,1.0
655,2008-05-01,1.0,1,1.0
656,2008-05-02,0.0,1,0.5
657,2008-05-05,-0.9999999999999999,1,-0.0
658,2008-05-06,0.0,1,0.5
659,2008-05-07,0.0,1,0.5
660,2008-05-08,1.0,1,1.0
661,2008-05-09,-0.9999999999999999,1,-0.0
662,2008-05-12,1.0,1,1.0
663,2008-05-13,0.0,1,0.5
664,2008-05-14,-0.9999999999999999,1,-0.0
665,2008-05-15,1.0,1,1.0
666,2008-05-16,1.0,1,1.0
667,2008-05-19,1.0,1,1.0
668,2008-05-20,-0.9999999999999999,1,-0.0
669,2008-05-21,-0.9999999999999999,1,-0.0
670,2008-05-22,-0.9999999999999999,1,-0.0
671,2008-05-23,-0.9999999999999999,1,-0.0
672,2008-05-26,0.0,1,0.5
673,2008-05-27,1.0,1,1.0
674,2008-05-28,1.0,1,1.0
675,2008-05-29,1.0,1,1.0
676,2008-05-30,0.0,1,0.5
677,2008-06-02,-0.9999999999999999,1,-0.0
678,2008-06-03,-0.9999999999999999,1,-0.0
679,2008-06-04,-0.9999999999999999,1,-0.0
680,2008-06-05,-0.9999999999999999,1,-0.0
681,2008-06-06,-0.9999999999999999,1,-0.0
682,2008-06-09,0.0,1,0.5
683,2008-06-10,1.0,1,1.0
684,2008-06-11,0.0,1,0.5
685,2008-06-12,-0.9999999999999999,1,-0.0
686,2008-06-13,1.0,1,1.0
687,2008-06-16,0.0,1,0.5
688,2008-06-17,0.0,1,0.5
689,2008-06-18,-0.9999999999999999,1,-0.0
690,2008-06-19,1.0,1,1.0
691,2008-06-20,0.0,1,0.5
692,2008-06-23,-0.9999999999999999,1,-0.0
693,2008-06-24,1.0,1,1.0
694,2008-06-25,1.0,1,1.0
695,2008-06-26,-0.9999999999999999,1,-0.0
696,2008-06-27,0.0,1,0.5
697,2008-06-30,-0.9999999999999999,1,-0.0
698,2008-07-01,-0.9999999999999999,1,-0.0
699,2008-07-02,1.0,1,1.0
700,2008-07-03,0.0,1,0.5
701,2008-07-04,0.0,1,0.5
702,2008-07-07,1.0,1,1.0
703,2008-07-08,1.0,1,1.0
704,2008-07-09,1.0,1,1.0
705,2008-07-10,0.0,1,0.5
706,2008-07-11,1.0,1,1.0
707,2008-07-14,0.0,1,0.5
708,2008-07-15,1.0,1,1.0
709,2008-07-16,1.0,1,1.0
710,2008-07-17,1.0,1,1.0
711,2008-07-18,0.0,1,0.5
712,2008-07-21,-0.9999999999999999,1,-0.0
713,2008-07-22,1.0,1,1.0
714,2008-07-23,1.0,1,1.0
715,2008-07-24,1.0,1,1.0
716,2008-07-25,1.0,1,1.0
717,2008-07-28,-0.9999999999999999,1,-0.0
718,2008-07-29,-0.9999999999999999,1,-0.0
719,2008-07-30,-0.9999999999999999,1,-0.0
720,2008-07-31,-0.9999999999999999,1,-0.0
721,2008-08-01,-0.9999999999999999,1,-0.0
722,2008-08-04,0.0,1,0.5
723,2008-08-05,0.0,1,0.5
724,2008-08-06,-0.9999999999999999,1,-0.0
725,2008-08-07,-0.9999999999999999,1,-0.0
726,2008-08-08,1.0,1,1.0
727,2008-08-11,-0.9999999999999999,1,-0.0
728,2008-08-12,-0.9999999999999999,1,-0.0
729,2008-08-13,-0.9999999999999999,1,-0.0
730,2008-08-14,0.0,1,0.5
731,2008-08-15,0.0,1,0.5
732,2008-08-18,0.0,1,0.5
